Module,Object,Desc,Escalation Type,SSMale,SSFemale,Timing,RevDate,AgeMale,AgeFemale,Revaluation,Increase,Escalation,row,Comments
Actives,OFFCAP,PPF Cap Offset %,None, , , , , , , , , ,2, 
Actives,m_DPREMEMB,Male Pre Retirement Individual % Rating,None, , , , , , , , , ,3, 
Actives,f_DPREMEMB,Female Pre Retirement Individual % Rating,None, , , , , , , , , ,4, 
Actives,m_DPOSTMEMB,Male Post Retirement Individual % Rating,None, , , , , , , , , ,5, 
Actives,f_DPOSTMEMB,Female Post Retirement Individual % Rating,None, , , , , , , , , ,6, 
Actives,m_SDPOSTMEMB,Male Member's Spouse/Partner % Rating,None, , , , , , , , , ,7, 
Actives,f_SDPOSTMEMB,Female Member's Spouse/Partner % Rating,None, , , , , , , , , ,8, 
Actives,m_DILLMEMB,Male Ill-Health Individual % Rating,None, , , , , , , , , ,9, 
Actives,f_DILLMEMB,Female Ill-Health Individual % Rating,None, , , , , , , , , ,10, 
Actives,SALdata,Initial Salary,Inflation,m_SPROM,f_SPROM,salind,RevDATE, , , , ,SALinf,11, 
Actives,FASdata,Initial Final Average Salary,Inflation,m_SPROM,f_SPROM,salind,RevDATE, , , , ,SALinf,12, 
Actives,SALdedn,Salary Deduction Initial Value,Inflation, , ,salind,RevDATE, , , , ,SALdednf,13, 
Actives,SALmax,Salary Maximum Initial Value,Inflation, , ,salind,RevDATE, , , , ,SALmaxf,14, 
Actives,ADDYRS,Slice Added Years,None, , , , , , , , , ,15, 
Actives,ACCDATA1,Slice Tier 1 Accrual Rate [Data Item],None, , , , , , , , , ,16, 
Actives,FIXPEN1,Slice Tier 1 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,17,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,MINPEN1,Slice Tier 1 Minimum Pension,None, , , , , , , , , ,18, 
Actives,MAXPEN1,Slice Tier 1 Maximum Pension,None, , , , , , , , , ,19, 
Actives,PENADJ1,Slice Tier 1 Pension Adjustment Factor,None, , , , , , , , , ,20, 
Actives,m_PPFADJ1,Slice Tier 1 Male PPF Adjustment Factor,None, , , , , , , , , ,21, 
Actives,f_PPFADJ1,Slice Tier 1 Female PPF Adjustment Factor,None, , , , , , , , , ,22, 
Actives,ACCDATA2,Slice Tier 2 Accrual Rate [Data Item],None, , , , , , , , , ,23, 
Actives,FIXPEN2,Slice Tier 2 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,24,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,MINPEN2,Slice Tier 2 Minimum Pension,None, , , , , , , , , ,25, 
Actives,MAXPEN2,Slice Tier 2 Maximum Pension,None, , , , , , , , , ,26, 
Actives,PENADJ2,Slice Tier 2 Pension Adjustment Factor,None, , , , , , , , , ,27, 
Actives,m_PPFADJ2,Slice Tier 2 Male PPF Adjustment Factor,None, , , , , , , , , ,28, 
Actives,f_PPFADJ2,Slice Tier 2 Female PPF Adjustment Factor,None, , , , , , , , , ,29, 
Actives,ACCDATA3,Slice Tier 3 Accrual Rate [Data Item],None, , , , , , , , , ,30, 
Actives,FIXPEN3,Slice Tier 3 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,31,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,MINPEN3,Slice Tier 3 Minimum Pension,None, , , , , , , , , ,32, 
Actives,MAXPEN3,Slice Tier 3 Maximum Pension,None, , , , , , , , , ,33, 
Actives,PENADJ3,Slice Tier 3 Pension Adjustment Factor,None, , , , , , , , , ,34, 
Actives,m_PPFADJ3,Slice Tier 3 Male PPF Adjustment Factor,None, , , , , , , , , ,35, 
Actives,f_PPFADJ3,Slice Tier 3 Female PPF Adjustment Factor,None, , , , , , , , , ,36, 
Actives,AltADDYRS,Alternate Slice Added Years,None, , , , , , , , , ,37, 
Actives,AltACCDATA1,Alternate Slice Tier 1 Accrual Rate [Data Item],None, , , , , , , , , ,38, 
