ModuleField,HelpField,HelpID,PageHelpID,FieldType
Log_On,Log_On,0,2000,Dialog
Log_On+User Name,Log_On+Log_On+user,3002,2000,Combo
Log_On+Password,Log_On+Log_On+password,3003,2000,Edit
Log_On+Scheme Folder,Log_On+Log_On+Folder,3004,2000,Combo
Log_On+Select New Folder,Log_On+Log_On+NewFolder,3005,2000,Button
Log_On+OK,Log_On+Button+OK,3001,2000,Button
Log_On+Cancel,Log_On+Button+Cancel,3000,2000,Button
Enter_Licence,Enter_Licence,0,2001,Dialog
Enter_Licence+Enter Licence Key,Enter_Licence+Enter_Licence+LicenceKey,3008,2001,Edit
Enter_Licence+OK,Enter_Licence+Button+OK,3007,2001,Button
Enter_Licence+Cancel,Enter_Licence+Button+Cancel,3006,2001,Button
Open,Open,0,2002,Dialog
Open+Saved Parameter Sets,Open+Open+SavedParms,3011,2002,ListviewM
Open+Import Parameter Set,Open+Open+Import,3014,2002,Button
Open+New (Defaults),Open+Open+Defaults,3013,2002,Button
Open+Delete,Open+Open+Delete,3012,2002,Button
Open+OK,Open+Button+OK,3010,2002,Button
Open+Cancel,Open+Button+Cancel,3009,2002,Button
SaveAs,SaveAs,0,2003,Dialog
SaveAs+Parameter File,SaveAs+SaveAs+SaveFile,3017,2003,Combo
SaveAs+Edit Parameter File Description,SaveAs+SaveAs+EditFileDesc,3018,2003,Check
SaveAs+Parameter File Description,SaveAs+SaveAs+SaveFileDesc,3019,2003,Edit
SaveAs+Parameter Set Description,SaveAs+SaveAs+SavedDesc,3020,2003,Edit
SaveAs+Basis Identifier,SaveAs+SaveAs+SavedID,3021,2003,Edit
SaveAs+Replace Current Parameter Set,SaveAs+SaveAs+SaveRep,3022,2003,Check
SaveAs+OK,SaveAs+Button+OK,3016,2003,Button
SaveAs+Cancel,SaveAs+Button+Cancel,3015,2003,Button
Selection_Dialog,Selection_Dialog,0,2004,Dialog
Selection_Dialog+Selections,Selection_Dialog+Selection_Dialog+Selections,3025,2004,Listview
Selection_Dialog+Search for Rate Table Description:,Selection_Dialog+Selection_Dialog+Search,3026,2004,Edit
Selection_Dialog+OK,Selection_Dialog+Button+OK,3024,2004,Button
Selection_Dialog+Cancel,Selection_Dialog+Button+Cancel,3023,2004,Button
Browser,Browser,0,2005,Dialog
Browser+Text,Browser+Browser+Text,3028,2005,Multi
