variable,alias
pp∆pi,pi
pp∆INCIND,INCIND
pp∆INCDAT,INCDAT
pp∆GPOverlap,GPOverlap
pp∆DISC,DISC
pp∆FREQ,FREQ
pp∆MODE,MODE
pp∆SPMethod,SPMethod
pp∆AGEDIF,AGEDIF
pp∆HXX,HXX
pp∆X0,X0
pp∆dbX0,dbX0
pp∆dbXe,dbXe
pp∆ENX,ENX
pp∆LNX,LNX
pp∆NX,NX
pp∆SNX,SNX
pp∆Age,Age∆pp
pp∆SL,SL∆pp
pp∆FSL,FSL∆pp
pp∆Con,Con∆pp
pp∆FCon,FCon∆pp
pp∆ExitProbs,ExitProbs∆pp
pp∆ABno,ABno∆pp
pp∆Dec,Dec∆pp
pp∆BenType,BenType∆pp
pp∆IncType,IncType∆pp
pp∆RetAge,RetAge∆pp
pp∆Start,Start∆pp
pp∆End,End∆pp
pp∆GP,GP∆pp
pp∆Inc,Inc∆pp
pp∆PPFRatio,PPFRatio∆pp
pp∆Identifier,Identifier∆pp
pp∆DelayPI,DelayPI∆pp
pp∆WaitPeriod,WaitPeriod∆pp
pp∆Revonly,pp∆RevOnly
pp∆RevOnly,RevOnly∆pp
pp∆Inconly,pp∆IncOnly
pp∆IncOnly,IncOnly∆pp
pp∆ProRate,ProRate∆pp
pp∆AltABno,AltABno∆pp
pp∆TotBen,pp∆PrSL
pp∆FutBen,pp∆PrFSL
pp∆TotCons,pp∆PrCon
pp∆FutCons,pp∆PrFCon
PPFCapAdj,PPFCAPADJ
PPFCashFac,PPFCASHFAC
PPFCashFac2,PPFCASHFAC2
